Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2017",,,,,,,,,, release date: 03/06/2020,,,,
,,,,,,,,,,,,,,
"SOURCE: 2017 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY19-460).,,,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,,
08,Colorado,07:  100-499,"2,910","6,400","299,990",G,"16,250,366",G,,,,,,
08,Colorado,08:  <500,"136,289","143,372","1,140,757",G,"52,592,385",G,,,,,,
08,Colorado,09:  500+,"3,389","26,470","1,230,937",G,"74,193,615",G,,,,,,
09,Connecticut,01:  Total,"71,198","89,574","1,536,858",G,"95,781,512",G,,,,,,
09,Connecticut,02:  <5,"39,503","39,569","66,797",G,"3,337,485",G,,,,,,
09,Connecticut,03:  5-9,"12,583","12,688","82,714",G,"3,644,234",G,,,,,,
09,Connecticut,04:  10-19,"7,783","8,084","103,506",G,"4,820,969",G,,,,,,
09,Connecticut,05:  <20,"59,869","60,341","253,017",G,"11,802,688",G,,,,,,
09,Connecticut,06:  20-99,"7,133","8,599","260,246",G,"13,508,050",G,,,,,,
09,Connecticut,07:  100-499,"1,921","4,795","231,822",G,"12,632,070",G,,,,,,
09,Connecticut,08:  <500,"68,923","73,735","745,085",G,"37,942,808",G,,,,,,
09,Connecticut,09:  500+,"2,275","15,839","791,773",G,"57,838,704",G,,,,,,
10,Delaware,01:  Total,"20,427","25,452","400,714",G,"21,975,836",G,,,,,,
10,Delaware,02:  <5,"11,322","11,351","17,690",G,"889,325",G,,,,,,
10,Delaware,03:  5-9,"2,973","2,996","19,441",G,"817,603",G,,,,,,
10,Delaware,04:  10-19,"2,068","2,182","27,170",G,"1,126,386",G,,,,,,
10,Delaware,05:  <20,"16,363","16,529","64,301",G,"2,833,314",G,,,,,,
10,Delaware,06:  20-99,"2,056","2,495","71,082",G,"3,061,125",G,,,,,,
10,Delaware,07:  100-499,622,"1,170","51,838",G,"2,629,302",G,,,,,,
10,Delaware,08:  <500,"19,041","20,194","187,221",G,"8,523,741",G,,,,,,
10,Delaware,09:  500+,"1,386","5,258","213,493",G,"13,452,095",G,,,,,,
11,District of Columbia,01:  Total,"18,376","23,585","527,004",G,"40,999,824",G,,,,,,
11,District of Columbia,02:  <5,"8,491","8,508","14,409",G,"1,291,487",G,,,,,,
11,District of Columbia,03:  5-9,"2,853","2,865","18,683",G,"1,237,076",G,,,,,,
11,District of Columbia,04:  10-19,"1,959","2,017","25,733",G,"1,740,600",G,,,,,,
11,District of Columbia,05:  <20,"13,303","13,390","58,825",G,"4,269,163",G,,,,,,
