,year,candidate,state,amount_spent,vote_share,cost_per_vote_share,party,party_partition,party_dummy
1281,2016,johnson_16,WA,21852.62,4.85,4505.694845360825,Libertarian,Third,2
1282,2016,johnson_16,LA,640.0,1.87,342.24598930481284,Libertarian,Third,2
1283,2016,johnson_16,TX,167441.22,3.16,52987.72784810126,Libertarian,Third,2
1284,2016,johnson_16,IN,14483.7,4.89,2961.901840490798,Libertarian,Third,2
1285,2016,johnson_16,NY,49049.83,2.29,21419.139737991267,Libertarian,Third,2
1286,2016,johnson_16,MI,12061.169999999998,3.59,3359.6573816155988,Libertarian,Third,2
1287,2016,johnson_16,VT,28623.99,3.2,8944.996875,Libertarian,Third,2
1288,2016,johnson_16,NH,12532.88,4.15,3019.971084337349,Libertarian,Third,2
1289,2016,johnson_16,VA,464586.4,2.97,156426.3973063973,Libertarian,Third,2
1290,2016,johnson_16,FL,394957.82,2.2,179526.2818181818,Libertarian,Third,2
1291,2016,johnson_16,ME,11697.0,5.09,2298.0353634577605,Libertarian,Third,2
1292,2016,johnson_16,MO,6004.23,3.47,1730.3256484149854,Libertarian,Third,2
1295,2016,johnson_16,PA,35433.49,2.38,14888.02100840336,Libertarian,Third,2
1296,2016,johnson_16,MN,3098.53,3.84,806.9088541666667,Libertarian,Third,2
1298,2016,johnson_16,WV,2500.0,3.22,776.3975155279503,Libertarian,Third,2
1299,2016,johnson_16,KS,379.93,4.68,81.18162393162393,Libertarian,Third,2
1300,2016,johnson_16,CT,10328.63,2.96,3489.4020270270266,Libertarian,Third,2
1301,2016,johnson_16,AZ,289152.58,4.13,70012.73123486683,Libertarian,Third,2
1302,2016,johnson_16,MD,10910.02,2.86,3814.692307692308,Libertarian,Third,2
1303,2016,johnson_16,MS,2500.0,1.19,2100.840336134454,Libertarian,Third,2
1304,2016,johnson_16,WI,36688.16,3.58,10248.089385474861,Libertarian,Third,2
1305,2016,johnson_16,GA,82712.34999999999,3.05,27118.803278688523,Libertarian,Third,2
1306,2016,johnson_16,IL,38434.88,3.79,10141.129287598944,Libertarian,Third,2
1307,2016,johnson_16,AL,8449.83,2.09,4042.9808612440193,Libertarian,Third,2
1308,2016,johnson_16,CO,66449.63,5.18,12828.113899613902,Libertarian,Third,2
1309,2016,johnson_16,RI,758.51,3.18,238.5251572327044,Libertarian,Third,2
1310,2016,johnson_16,UT,6993380.519999999,3.5,1998108.7199999995,Libertarian,Third,2
1311,2016,johnson_16,IA,30135.89,3.78,7972.457671957673,Libertarian,Third,2
1312,2016,johnson_16,TN,2000.0,2.81,711.7437722419928,Libertarian,Third,2
1313,2016,johnson_16,NC,54192.12,2.74,19778.14598540146,Libertarian,Third,2
1314,2016,johnson_16,KY,4417.06,2.79,1583.1756272401435,Libertarian,Third,2
1315,2016,johnson_16,OK,5971.44,5.75,1038.5113043478261,Libertarian,Third,2
1316,2016,johnson_16,MT,3348.93,5.64,593.781914893617,Libertarian,Third,2
1317,2016,johnson_16,ID,1038.74,4.1,253.35121951219514,Libertarian,Third,2
1318,2016,johnson_16,HI,14910.29,3.72,4008.1424731182797,Libertarian,Third,2
1319,2016,johnson_16,SD,3529.94,5.63,626.98756660746,Libertarian,Third,2
1320,2016,johnson_16,SC,4500.0,2.34,1923.076923076923,Libertarian,Third,2
1322,2016,johnson_16,NE,26884.89,4.61,5831.863340563991,Libertarian,Third,2
1324,2016,johnson_16,NM,113618.69,9.34,12164.741970021414,Libertarian,Third,2
1325,2016,johnson_16,AK,12191.3,5.88,2073.3503401360545,Libertarian,Third,2
1326,2016,stein_16,OH,3520.0,0.84,4190.476190476191,Green,Third,2
1327,2016,stein_16,DC,3759.35,1.36,2764.2279411764703,Green,Third,2
1328,2016,stein_16,CA,203579.14,1.96,103866.90816326531,Green,Third,2
1329,2016,stein_16,OR,10669.25,2.5,4267.7,Green,Third,2
1330,2016,stein_16,MA,66372.3,1.43,46414.195804195806,Green,Third,2
1331,2016,stein_16,NV,1138.4,3.23,352.44582043343655,Green,Third,2
1332,2016,stein_16,WA,18140.13,1.76,10306.892045454546,Green,Third,2
1334,2016,stein_16,TX,60531.39,0.8,75664.23749999999,Green,Third,2
1336,2016,stein_16,NY,165369.9,1.4,118121.35714285714,Green,Third,2
1337,2016,stein_16,MI,3310.0,1.07,3093.4579439252334,Green,Third,2
1339,2016,stein_16,NH,1381.33,0.88,1569.6931818181818,Green,Third,2
1340,2016,stein_16,VA,6073.51,0.69,8802.188405797102,Green,Third,2
1341,2016,stein_16,FL,1899.45,0.68,2793.3088235294117,Green,Third,2
1342,2016,stein_16,ME,7175.0,1.91,3756.5445026178013,Green,Third,2
1343,2016,stein_16,MO,36713.54,0.91,40344.54945054945,Green,Third,2
1345,2016,stein_16,NJ,2116.82,0.98,2160.0204081632655,Green,Third,2
1346,2016,stein_16,PA,24968.78,0.81,30825.65432098765,Green,Third,2
1347,2016,stein_16,MN,1327.88,1.26,1053.873015873016,Green,Third,2
1348,2016,stein_16,ND,2500.0,1.1,2272.7272727272725,Green,Third,2
1351,2016,stein_16,CT,3472.95,1.39,2498.5251798561153,Green,Third,2
1352,2016,stein_16,AZ,47729.16,1.33,35886.58646616541,Green,Third,2
1353,2016,stein_16,MD,7317.79,1.29,5672.705426356589,Green,Third,2
1355,2016,stein_16,WI,127647.88,1.04,122738.34615384616,Green,Third,2
1356,2016,stein_16,GA,37033.6,0.19,194913.68421052632,Green,Third,2
1357,2016,stein_16,IL,32182.34,1.39,23152.76258992806,Green,Third,2
1358,2016,stein_16,AL,175.82,0.44,399.59090909090907,Green,Third,2
1359,2016,stein_16,CO,11775.81,1.38,8533.195652173914,Green,Third,2
1361,2016,stein_16,UT,60.0,0.83,72.28915662650603,Green,Third,2
1362,2016,stein_16,IA,400.0,0.73,547.945205479452,Green,Third,2
1363,2016,stein_16,TN,30375.56,0.64,47461.8125,Green,Third,2
1364,2016,stein_16,NC,20362.45,0.26,78317.11538461539,Green,Third,2
1365,2016,stein_16,KY,927.5,0.72,1288.1944444444446,Green,Third,2
1366,2016,stein_16,OK,8136.2,37.08,219.42286947141318,Green,Third,2
1371,2016,stein_16,SC,7064.31,0.62,11394.048387096775,Green,Third,2
1375,2016,stein_16,NM,9642.0,1.24,7775.806451612903,Green,Third,2
