,State,Vote Share,candidate
218,IL,56.17,mondale_84
219,IN,61.67,mondale_84
220,IA,53.27,mondale_84
221,KS,66.27,mondale_84
222,KY,60.04,mondale_84
223,LA,60.77,mondale_84
224,ME,60.83,mondale_84
225,MD,52.51,mondale_84
226,MA,51.22,mondale_84
227,MI,59.23,mondale_84
228,MS,61.85,mondale_84
229,MO,60.02,mondale_84
230,MT,60.47,mondale_84
231,NE,70.55,mondale_84
232,NV,65.85,mondale_84
233,NH,68.66,mondale_84
234,NJ,60.09,mondale_84
235,NM,59.7,mondale_84
236,NY,53.84,mondale_84
237,NC,61.9,mondale_84
238,ND,64.84,mondale_84
239,OH,58.9,mondale_84
240,OK,68.61,mondale_84
241,OR,55.91,mondale_84
242,PA,53.34,mondale_84
243,RI,51.66,mondale_84
244,SC,63.55,mondale_84
245,SD,63,mondale_84
246,TN,57.84,mondale_84
247,TX,63.61,mondale_84
248,UT,74.5,mondale_84
249,VT,57.92,mondale_84
250,VA,62.29,mondale_84
251,WA,55.82,mondale_84
252,WV,55.11,mondale_84
253,WI,54.19,mondale_84
254,WY,70.51,mondale_84
255,DC,85.38,reagan_84
256,MN,49.72,reagan_84
257,AL,38.28,reagan_84
258,AK,29.87,reagan_84
259,AZ,32.54,reagan_84
260,AR,38.29,reagan_84
261,CA,41.27,reagan_84
262,CO,35.12,reagan_84
263,CT,38.83,reagan_84
264,DE,39.93,reagan_84
265,FL,34.66,reagan_84
266,GA,39.79,reagan_84
267,HI,43.82,reagan_84
268,ID,26.39,reagan_84
269,IL,43.3,reagan_84
270,IN,37.68,reagan_84
271,IA,45.89,reagan_84
272,KS,32.6,reagan_84
273,KY,39.37,reagan_84
274,LA,38.18,reagan_84
275,ME,38.78,reagan_84
276,MD,47.02,reagan_84
277,MA,48.43,reagan_84
278,MI,40.24,reagan_84
279,MS,37.46,reagan_84
280,MO,39.98,reagan_84
281,MT,38.18,reagan_84
282,NE,28.81,reagan_84
283,NV,31.97,reagan_84
284,NH,30.95,reagan_84
285,NJ,39.2,reagan_84
286,NM,39.23,reagan_84
287,NY,45.83,reagan_84
288,NC,37.89,reagan_84
289,ND,33.8,reagan_84
290,OH,40.14,reagan_84
291,OK,30.67,reagan_84
292,OR,43.74,reagan_84
293,PA,45.99,reagan_84
294,RI,48.02,reagan_84
295,SC,35.57,reagan_84
296,SD,36.53,reagan_84
297,TN,41.57,reagan_84
298,TX,36.11,reagan_84
299,UT,24.68,reagan_84
300,VT,40.81,reagan_84
301,VA,37.09,reagan_84
302,WA,42.86,reagan_84
303,WV,44.6,reagan_84
304,WI,45.02,reagan_84
305,WY,28.24,reagan_84
306,DC,14.3,dukakis_88
307,HI,44.75,dukakis_88
308,IA,44.5,dukakis_88
309,MA,45.38,dukakis_88
310,MN,45.9,dukakis_88
311,NY,47.52,dukakis_88
312,OR,46.61,dukakis_88
313,RI,43.93,dukakis_88
314,WA,48.46,dukakis_88
315,WV,47.46,dukakis_88
316,WI,47.8,dukakis_88
317,AL,59.17,dukakis_88
318,AK,59.59,dukakis_88
319,AZ,59.95,dukakis_88
320,AR,56.37,dukakis_88
321,CA,51.13,dukakis_88
322,CO,53.06,dukakis_88
323,CT,51.98,dukakis_88
324,DE,55.88,dukakis_88
325,FL,60.87,dukakis_88
326,GA,59.75,dukakis_88
327,ID,62.08,dukakis_88
328,IL,50.69,dukakis_88
329,IN,59.84,dukakis_88
330,KS,55.79,dukakis_88
331,KY,55.52,dukakis_88
332,LA,54.27,dukakis_88
333,ME,55.34,dukakis_88
334,MD,51.11,dukakis_88
335,MI,53.57,dukakis_88
336,MS,59.89,dukakis_88
337,MO,51.83,dukakis_88
338,MT,52.07,dukakis_88
339,NE,60.15,dukakis_88
340,NV,58.86,dukakis_88
341,NH,62.49,dukakis_88
342,NJ,56.24,dukakis_88
343,NM,51.86,dukakis_88
344,NC,57.97,dukakis_88
345,ND,56.03,dukakis_88
346,OH,55,dukakis_88
347,OK,57.93,dukakis_88
348,PA,50.7,dukakis_88
349,SC,61.5,dukakis_88
350,SD,52.85,dukakis_88
351,TN,57.89,dukakis_88
352,TX,55.95,dukakis_88
353,UT,66.22,dukakis_88
354,VT,51.1,dukakis_88
355,VA,59.74,dukakis_88
356,WY,60.53,dukakis_88
357,DC,82.65,bush_88
358,HI,54.27,bush_88
359,IA,54.71,bush_88
360,MA,53.23,bush_88
361,MN,52.91,bush_88
362,NY,51.62,bush_88
363,OR,51.28,bush_88
364,RI,55.64,bush_88
365,WA,50.05,bush_88
366,WV,52.2,bush_88
367,WI,51.41,bush_88
368,AL,39.86,bush_88
369,AK,36.27,bush_88
370,AZ,38.74,bush_88
371,AR,42.19,bush_88
372,CA,47.56,bush_88
373,CO,45.28,bush_88
374,CT,46.87,bush_88
375,DE,43.48,bush_88
376,FL,38.51,bush_88
377,GA,39.5,bush_88
378,ID,36.01,bush_88
379,IL,48.6,bush_88
380,IN,39.69,bush_88
381,KS,42.56,bush_88
382,KY,43.88,bush_88
383,LA,44.06,bush_88
384,ME,43.88,bush_88
385,MD,48.2,bush_88
386,MI,45.67,bush_88
387,MS,39.07,bush_88
388,MO,47.85,bush_88
389,MT,46.2,bush_88
390,NE,39.2,bush_88
391,NV,37.92,bush_88
392,NH,36.33,bush_88
393,NJ,42.6,bush_88
394,NM,46.9,bush_88
395,NC,41.71,bush_88
396,ND,42.97,bush_88
397,OH,44.15,bush_88
398,OK,41.28,bush_88
399,PA,48.39,bush_88
400,SC,37.58,bush_88
401,SD,46.51,bush_88
402,TN,41.55,bush_88
403,TX,43.35,bush_88
404,UT,32.05,bush_88
405,VT,47.58,bush_88
406,VA,39.23,bush_88
407,WY,38.01,bush_88
408,AR,53.21,clinton_92
409,CA,46.01,clinton_92
410,CO,40.13,clinton_92
411,CT,42.21,clinton_92
412,DE,43.52,clinton_92
413,DC,84.64,clinton_92
414,GA,43.47,clinton_92
415,HI,48.09,clinton_92
416,IL,48.58,clinton_92
417,IA,43.29,clinton_92
418,KY,44.55,clinton_92
419,LA,45.58,clinton_92
420,ME,38.77,clinton_92
421,MD,49.8,clinton_92
422,MA,47.54,clinton_92
423,MI,43.77,clinton_92
424,MN,43.48,clinton_92
425,MO,44.07,clinton_92
426,MT,37.63,clinton_92
427,NV,37.36,clinton_92
428,NH,38.91,clinton_92
429,NJ,42.95,clinton_92
430,NM,45.9,clinton_92
431,NY,49.73,clinton_92
432,OH,40.18,clinton_92
433,OR,42.48,clinton_92
434,PA,45.15,clinton_92
435,RI,47.04,clinton_92
436,TN,47.08,clinton_92
437,VT,46.11,clinton_92
438,WA,43.41,clinton_92
439,WV,48.41,clinton_92
440,WI,41.13,clinton_92
441,AL,40.88,clinton_92
442,AK,30.29,clinton_92
443,AZ,36.52,clinton_92
444,FL,39,clinton_92
445,ID,28.42,clinton_92
446,IN,36.79,clinton_92
447,KS,33.74,clinton_92
448,MS,40.77,clinton_92
449,NE,29.4,clinton_92
450,NC,42.65,clinton_92
451,ND,32.18,clinton_92
452,OK,34.02,clinton_92
453,SC,39.88,clinton_92
454,SD,37.14,clinton_92
455,TX,37.08,clinton_92
456,UT,24.65,clinton_92
457,VA,40.59,clinton_92
458,WY,34.1,clinton_92
