,State,Vote Share,candidate
933,PA,50.92%,bush_04
934,RI,59.42%,bush_04
935,VT,58.94%,bush_04
936,WA,52.82%,bush_04
937,WI,49.70%,bush_04
938,AL,36.84%,bush_04
939,AK,35.52%,bush_04
940,AZ,44.40%,bush_04
941,AR,44.55%,bush_04
942,CO,47.02%,bush_04
943,FL,47.09%,bush_04
944,GA,41.37%,bush_04
945,ID,30.26%,bush_04
946,IN,39.26%,bush_04
947,IA,49.23%,bush_04
948,KS,36.62%,bush_04
949,KY,39.69%,bush_04
950,LA,42.22%,bush_04
951,MS,39.76%,bush_04
952,MO,46.10%,bush_04
953,MT,38.56%,bush_04
954,NE,32.68%,bush_04
955,NV,47.88%,bush_04
956,NM,49.05%,bush_04
957,NC,43.58%,bush_04
958,ND,35.50%,bush_04
959,OH,48.71%,bush_04
960,OK,34.43%,bush_04
961,SC,40.90%,bush_04
962,SD,38.44%,bush_04
963,TN,42.53%,bush_04
964,TX,38.22%,bush_04
965,UT,26.00%,bush_04
966,VA,45.48%,bush_04
967,WV,43.20%,bush_04
968,WY,29.07%,bush_04
969,CA,61.01%,obama_08
970,CO,53.66%,obama_08
971,CT,60.59%,obama_08
972,DE,61.94%,obama_08
973,DC,92.46%,obama_08
974,FL,51.03%,obama_08
975,HI,71.85%,obama_08
976,IL,61.92%,obama_08
977,IN,49.95%,obama_08
978,IA,53.93%,obama_08
979,ME,57.71%,obama_08
980,MD,61.92%,obama_08
981,MA,61.80%,obama_08
982,MI,57.43%,obama_08
983,MN,54.06%,obama_08
984,NV,55.15%,obama_08
985,NH,54.13%,obama_08
986,NJ,57.27%,obama_08
987,NM,56.91%,obama_08
988,NY,62.88%,obama_08
989,NC,49.70%,obama_08
990,OH,51.50%,obama_08
991,OR,56.75%,obama_08
992,PA,54.49%,obama_08
993,RI,62.86%,obama_08
994,VT,67.46%,obama_08
995,VA,52.63%,obama_08
996,WA,57.65%,obama_08
997,WI,56.22%,obama_08
998,AL,38.74%,obama_08
999,AK,37.89%,obama_08
1000,AZ,45.12%,obama_08
1001,AR,38.86%,obama_08
1002,GA,46.99%,obama_08
1003,ID,36.09%,obama_08
1004,KS,41.65%,obama_08
1005,KY,41.17%,obama_08
1006,LA,39.93%,obama_08
1007,MS,43.00%,obama_08
1008,MO,49.29%,obama_08
1009,MT,47.25%,obama_08
1010,NE,41.60%,obama_08
1011,ND,44.62%,obama_08
1012,OK,34.35%,obama_08
1013,SC,44.90%,obama_08
1014,SD,44.75%,obama_08
1015,TN,41.83%,obama_08
1016,TX,43.68%,obama_08
1017,UT,34.41%,obama_08
1018,WV,42.59%,obama_08
1019,WY,32.54%,obama_08
1020,CA,36.95%,mccain_08
1021,CO,44.71%,mccain_08
1022,CT,38.22%,mccain_08
1023,DE,36.95%,mccain_08
1024,DC,6.53%,mccain_08
1025,FL,48.22%,mccain_08
1026,HI,26.58%,mccain_08
1027,IL,36.78%,mccain_08
1028,IN,48.91%,mccain_08
1029,IA,44.39%,mccain_08
1030,ME,40.38%,mccain_08
1031,MD,36.47%,mccain_08
1032,MA,35.99%,mccain_08
1033,MI,40.96%,mccain_08
1034,MN,43.82%,mccain_08
1035,NV,42.65%,mccain_08
1036,NH,44.52%,mccain_08
1037,NJ,41.70%,mccain_08
1038,NM,41.78%,mccain_08
1039,NY,36.03%,mccain_08
1040,NC,49.38%,mccain_08
1041,OH,46.91%,mccain_08
1042,OR,40.40%,mccain_08
1043,PA,44.17%,mccain_08
1044,RI,35.06%,mccain_08
1045,VT,30.45%,mccain_08
1046,VA,46.33%,mccain_08
1047,WA,40.48%,mccain_08
1048,WI,42.31%,mccain_08
1049,AL,60.32%,mccain_08
1050,AK,59.42%,mccain_08
1051,AZ,53.64%,mccain_08
1052,AR,58.72%,mccain_08
1053,GA,52.20%,mccain_08
1054,ID,61.52%,mccain_08
1055,KS,56.61%,mccain_08
1056,KY,57.40%,mccain_08
1057,LA,58.56%,mccain_08
1058,MS,56.18%,mccain_08
1059,MO,49.43%,mccain_08
1060,MT,49.51%,mccain_08
1061,NE,56.53%,mccain_08
1062,ND,53.25%,mccain_08
1063,OK,65.65%,mccain_08
1064,SC,53.87%,mccain_08
1065,SD,53.16%,mccain_08
1066,TN,56.90%,mccain_08
1067,TX,55.45%,mccain_08
1068,UT,62.58%,mccain_08
1069,WV,55.71%,mccain_08
1070,WY,64.78%,mccain_08
1071,CA,60.24%,obama_12
1072,CO,51.49%,obama_12
1073,CT,58.06%,obama_12
1074,DE,58.61%,obama_12
1075,DC,90.91%,obama_12
1076,FL,50.01%,obama_12
1077,HI,70.55%,obama_12
1078,IL,57.60%,obama_12
1079,IA,51.99%,obama_12
1080,ME,56.27%,obama_12
1081,MD,61.97%,obama_12
1082,MA,60.65%,obama_12
1083,MI,54.21%,obama_12
1084,MN,52.65%,obama_12
1085,NV,52.36%,obama_12
1086,NH,51.98%,obama_12
1087,NJ,58.38%,obama_12
1088,NM,52.99%,obama_12
1089,NY,63.35%,obama_12
1090,OH,50.67%,obama_12
1091,OR,54.24%,obama_12
1092,PA,51.97%,obama_12
1093,RI,62.70%,obama_12
1094,VT,66.57%,obama_12
1095,VA,51.16%,obama_12
1096,WA,56.16%,obama_12
1097,WI,52.83%,obama_12
1098,AL,38.36%,obama_12
1099,AK,40.81%,obama_12
1100,AZ,44.59%,obama_12
1101,AR,36.88%,obama_12
1102,GA,45.48%,obama_12
1103,ID,32.62%,obama_12
1104,IN,43.93%,obama_12
1105,KS,37.99%,obama_12
1106,KY,37.80%,obama_12
1107,LA,40.58%,obama_12
1108,MS,43.79%,obama_12
1109,MO,44.38%,obama_12
1110,MT,41.70%,obama_12
1111,NE,38.03%,obama_12
1112,NC,48.35%,obama_12
1113,ND,38.69%,obama_12
1114,OK,33.23%,obama_12
1115,SC,44.09%,obama_12
1116,SD,39.87%,obama_12
1117,TN,39.08%,obama_12
1118,TX,41.38%,obama_12
1119,UT,24.75%,obama_12
1120,WV,35.54%,obama_12
1121,WY,27.82%,obama_12
1122,CA,37.12%,romney_12
1123,CO,46.13%,romney_12
1124,CT,40.73%,romney_12
1125,DE,39.98%,romney_12
1126,DC,7.28%,romney_12
1127,FL,49.13%,romney_12
1128,HI,27.84%,romney_12
1129,IL,40.73%,romney_12
1130,IA,46.18%,romney_12
1131,ME,40.98%,romney_12
1132,MD,35.90%,romney_12
1133,MA,37.51%,romney_12
1134,MI,44.71%,romney_12
1135,MN,44.96%,romney_12
1136,NV,45.68%,romney_12
1137,NH,46.40%,romney_12
1138,NJ,40.59%,romney_12
1139,NM,42.84%,romney_12
1140,NY,35.17%,romney_12
1141,OH,47.69%,romney_12
1142,OR,42.15%,romney_12
1143,PA,46.59%,romney_12
1144,RI,35.24%,romney_12
1145,VT,30.97%,romney_12
1146,VA,47.28%,romney_12
1147,WA,41.29%,romney_12
1148,WI,45.89%,romney_12
1149,AL,60.55%,romney_12
1150,AK,54.80%,romney_12
1151,AZ,53.65%,romney_12
1152,AR,60.57%,romney_12
1153,GA,53.30%,romney_12
1154,ID,64.53%,romney_12
1155,IN,54.13%,romney_12
1156,KS,59.71%,romney_12
1157,KY,60.49%,romney_12
1158,LA,57.78%,romney_12
1159,MS,55.29%,romney_12
1160,MO,53.76%,romney_12
1161,MT,55.35%,romney_12
1162,NE,59.80%,romney_12
1163,NC,50.39%,romney_12
1164,ND,58.32%,romney_12
1165,OK,66.77%,romney_12
1166,SC,54.56%,romney_12
1167,SD,57.89%,romney_12
1168,TN,59.48%,romney_12
1169,TX,57.17%,romney_12
1170,UT,72.79%,romney_12
1171,WV,62.30%,romney_12
1172,WY,68.64%,romney_12
1173,CA,61.73%,clinton_16
1174,CO,48.16%,clinton_16
1175,CT,54.57%,clinton_16
1176,DE,53.09%,clinton_16
1177,DC,90.48%,clinton_16
1178,HI,62.22%,clinton_16
1179,IL,55.83%,clinton_16
1180,ME,47.83%,clinton_16
1181,MD,60.33%,clinton_16
1182,MA,60.01%,clinton_16
1183,MN,46.44%,clinton_16
1184,NV,47.50%,clinton_16
1185,NH,46.98%,clinton_16
1186,NJ,55.45%,clinton_16
1187,NM,48.26%,clinton_16
1188,NY,59.01%,clinton_16
1189,OR,50.07%,clinton_16
1190,RI,54.41%,clinton_16
1191,VT,56.68%,clinton_16
1192,VA,49.73%,clinton_16
1193,WA,52.54%,clinton_16
1194,AL,34.36%,clinton_16
1195,AK,36.55%,clinton_16
1196,AZ,45.13%,clinton_16
1197,AR,33.65%,clinton_16
1198,FL,47.82%,clinton_16
1199,GA,45.64%,clinton_16
1200,ID,27.49%,clinton_16
1201,IN,37.91%,clinton_16
1202,IA,41.74%,clinton_16
1203,KS,36.05%,clinton_16
1204,KY,32.68%,clinton_16
1205,LA,38.45%,clinton_16
1206,MI,47.27%,clinton_16
1207,MS,40.11%,clinton_16
1208,MO,38.14%,clinton_16
1209,MT,35.75%,clinton_16
1210,NE,33.70%,clinton_16
1211,NC,46.17%,clinton_16
1212,ND,27.23%,clinton_16
1213,OH,43.56%,clinton_16
1214,OK,28.93%,clinton_16
1215,PA,47.46%,clinton_16
1216,SC,40.67%,clinton_16
1217,SD,31.74%,clinton_16
1218,TN,34.72%,clinton_16
1219,TX,43.24%,clinton_16
1220,UT,27.46%,clinton_16
1221,WV,26.43%,clinton_16
1222,WI,46.45%,clinton_16
1223,WY,21.63%,clinton_16
1224,CA,31.62%,trump_16
1225,CO,43.25%,trump_16
1226,CT,40.93%,trump_16
1227,DE,41.72%,trump_16
1228,DC,4.07%,trump_16
1229,HI,30.03%,trump_16
1230,IL,38.76%,trump_16
1231,ME,44.87%,trump_16
1232,MD,33.91%,trump_16
1233,MA,32.81%,trump_16
1234,MN,44.92%,trump_16
1235,NV,45.98%,trump_16
1236,NH,46.61%,trump_16
1237,NJ,41.35%,trump_16
1238,NM,40.04%,trump_16
1239,NY,36.52%,trump_16
1240,OR,39.09%,trump_16
1241,RI,38.90%,trump_16
1242,VT,30.27%,trump_16
1243,VA,44.41%,trump_16
1244,WA,36.83%,trump_16
1245,AL,62.08%,trump_16
1246,AK,51.28%,trump_16
1247,AZ,48.67%,trump_16
1248,AR,60.57%,trump_16
1249,FL,49.02%,trump_16
1250,GA,50.77%,trump_16
1251,ID,59.26%,trump_16
1252,IN,56.82%,trump_16
1253,IA,51.15%,trump_16
1254,KS,56.65%,trump_16
1255,KY,62.52%,trump_16
1256,LA,58.09%,trump_16
1257,MI,47.50%,trump_16
1258,MS,57.94%,trump_16
1259,MO,56.77%,trump_16
1260,MT,56.17%,trump_16
1261,NE,58.75%,trump_16
1262,NC,49.83%,trump_16
1263,ND,62.96%,trump_16
1264,OH,51.69%,trump_16
1265,OK,65.32%,trump_16
1266,PA,48.18%,trump_16
1267,SC,54.94%,trump_16
1268,SD,61.53%,trump_16
1269,TN,60.72%,trump_16
1270,TX,52.23%,trump_16
1271,UT,45.54%,trump_16
1272,WV,68.50%,trump_16
1273,WI,47.22%,trump_16
1274,WY,67.40%,trump_16
1275,CA,3.37%,johnson_16
1276,CO,5.18%,johnson_16
1277,CT,2.96%,johnson_16
1278,DE,3.32%,johnson_16
1279,DC,1.57%,johnson_16
1280,HI,3.72%,johnson_16
1281,IL,3.79%,johnson_16
1282,ME,5.09%,johnson_16
1283,MD,2.86%,johnson_16
1284,MA,4.15%,johnson_16
1285,MN,3.84%,johnson_16
1286,NV,3.29%,johnson_16
1287,NH,4.15%,johnson_16
1288,NJ,1.87%,johnson_16
1289,NM,9.34%,johnson_16
1290,NY,2.29%,johnson_16
1291,OR,4.71%,johnson_16
1292,RI,3.18%,johnson_16
1293,VT,3.20%,johnson_16
1294,VA,2.97%,johnson_16
1295,WA,4.85%,johnson_16
1296,AL,2.09%,johnson_16
1297,AK,5.88%,johnson_16
1298,AZ,4.13%,johnson_16
1299,AR,2.64%,johnson_16
1300,FL,2.20%,johnson_16
1301,GA,3.05%,johnson_16
1302,ID,4.10%,johnson_16
1303,IN,4.89%,johnson_16
1304,IA,3.78%,johnson_16
1305,KS,4.68%,johnson_16
1306,KY,2.79%,johnson_16
1307,LA,1.87%,johnson_16
1308,MI,3.59%,johnson_16
1309,MS,1.19%,johnson_16
1310,MO,3.47%,johnson_16
1311,MT,5.64%,johnson_16
1312,NE,4.61%,johnson_16
1313,NC,2.74%,johnson_16
1314,ND,6.22%,johnson_16
1315,OH,3.17%,johnson_16
1316,OK,5.75%,johnson_16
1317,PA,2.38%,johnson_16
1318,SC,2.34%,johnson_16
1319,SD,5.63%,johnson_16
1320,TN,2.81%,johnson_16
1321,TX,3.16%,johnson_16
1322,UT,3.50%,johnson_16
1323,WV,3.22%,johnson_16
1324,WI,3.58%,johnson_16
1325,WY,5.13%,johnson_16
1326,CA,1.96%,stein_16
1327,CO,1.38%,stein_16
1328,CT,1.39%,stein_16
1329,DE,1.37%,stein_16
1330,DC,1.36%,stein_16
1331,HI,2.97%,stein_16
1332,IL,1.39%,stein_16
1333,ME,1.91%,stein_16
1334,MD,1.29%,stein_16
1335,MA,1.43%,stein_16
1336,MN,1.26%,stein_16
1337,NV,3.23%,stein_16
1338,NH,0.88%,stein_16
1339,NJ,0.98%,stein_16
1340,NM,1.24%,stein_16
1341,NY,1.40%,stein_16
1342,OR,2.50%,stein_16
1343,RI,1.34%,stein_16
1344,VT,2.14%,stein_16
1345,VA,0.69%,stein_16
1346,WA,1.76%,stein_16
1347,AL,0.44%,stein_16
1348,AK,1.80%,stein_16
1349,AZ,1.33%,stein_16
1350,AR,0.84%,stein_16
1351,FL,0.68%,stein_16
1352,GA,0.19%,stein_16
1353,ID,1.23%,stein_16
1354,IN,0.27%,stein_16
1355,IA,0.73%,stein_16
1356,KS,1.98%,stein_16
1357,KY,0.72%,stein_16
1358,LA,0.69%,stein_16
1359,MI,1.07%,stein_16
1360,MS,0.31%,stein_16
1361,MO,0.91%,stein_16
1362,MT,1.60%,stein_16
1363,NE,1.04%,stein_16
1364,NC,0.26%,stein_16
1365,ND,1.10%,stein_16
1366,OH,0.84%,stein_16
1367,OK,37.08%,stein_16
1368,PA,0.81%,stein_16
1369,SC,0.62%,stein_16
1370,SD,1.10%,stein_16
1371,TN,0.64%,stein_16
1372,TX,0.80%,stein_16
1373,UT,0.83%,stein_16
1374,WV,1.13%,stein_16
1375,WI,1.04%,stein_16
1376,WY,0.97%,stein_16
